epoch,accuracy,loss,val_accuracy,val_loss
0,0.3883199691772461,1.324458360671997,0.4755043089389801,1.261488437652588
1,0.6504290103912354,0.9756487607955933,0.6426513195037842,0.9446455240249634
2,0.7979518175125122,0.5765885710716248,0.6974063515663147,0.813155472278595
3,0.8466648459434509,0.4181995093822479,0.6945244669914246,0.8172318339347839
4,0.8809853196144104,0.3359779715538025,0.6974063515663147,0.8575654029846191
5,0.9089399576187134,0.27020350098609924,0.6570605039596558,0.9379492402076721
6,0.9255466461181641,0.2279500514268875,0.6599423885345459,0.9618839025497437
7,0.9385552406311035,0.1939300000667572,0.6743515729904175,1.0585018396377563
8,0.951287031173706,0.16499941051006317,0.6714697480201721,1.1150296926498413
9,0.9570993781089783,0.13950282335281372,0.6657060384750366,1.1833937168121338
10,0.9615278244018555,0.12674479186534882,0.680115282535553,1.2287853956222534
11,0.9665098190307617,0.11263930797576904,0.6657060384750366,1.2468693256378174
12,0.9670633673667908,0.10660723596811295,0.6772334575653076,1.3171356916427612
13,0.9717686176300049,0.09822629392147064,0.6570605039596558,1.3805406093597412
14,0.9717686176300049,0.09214836359024048,0.6657060384750366,1.4315097332000732
15,0.972045361995697,0.08587083220481873,0.6714697480201721,1.4191553592681885
16,0.9717686176300049,0.08417287468910217,0.6570605039596558,1.5026353597640991
17,0.977027416229248,0.07275673747062683,0.6743515729904175,1.497629165649414
18,0.9759202599525452,0.07521143555641174,0.6628242135047913,1.5572583675384521
19,0.975643515586853,0.06961248070001602,0.6570605039596558,1.5584291219711304
20,0.9761970639228821,0.06652244925498962,0.6628242135047913,1.6078088283538818
21,0.9761970639228821,0.06201740354299545,0.6714697480201721,1.6627534627914429
22,0.9775809645652771,0.06254760175943375,0.6714697480201721,1.6234689950942993
23,0.9789648652076721,0.06074037775397301,0.6685879230499268,1.6784567832946777
24,0.977027416229248,0.05899409204721451,0.6743515729904175,1.676977515220642
